,L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy,r0-r2
0,0.0,0.007790369,0.007790369,0.125478448,97.67,133.0082244873047
1,1e-08,0.00521633,0.005417561,0.135632338,97.68,141.8556671142578
2,2e-08,0.005317636,0.00575119,0.1367992,97.54,147.23338317871094
3,3e-08,0.003639307,0.004320748,0.136257905,97.71,150.71389770507812
4,4e-08,0.002606365,0.003568202,0.12868521,97.75,155.06748962402344
5,5e-08,0.003667435,0.004986863,0.125065059,97.87,162.445556640625
6,6e-08,0.004309022,0.005922875,0.137056373,97.76,164.00474548339844
7,7e-08,0.003175256,0.00516264,0.15002608,97.57,168.4969024658203
8,8e-08,0.003092205,0.005474159,0.140487043,97.7,172.5526580810547
9,9e-08,0.003939102,0.006629865,0.150562724,97.6,172.90855407714844
10,1e-07,0.004555863,0.007560945,0.125984206,97.87,173.35174560546875
11,1.1e-07,0.003632438,0.006975001,0.139754225,97.84,174.31849670410156
12,1.2e-07,0.001723317,0.005341808,0.155444259,97.71,173.6493377685547
13,1.3e-07,0.002527574,0.006366646,0.146335051,97.76,171.84678649902344
14,1.4e-07,0.002877388,0.006966657,0.143742445,97.87,170.90660095214844
15,1.5e-07,0.004734553,0.009030972,0.15375868,97.6,169.24180603027344
16,1.6e-07,0.00267772,0.007291657,0.145429448,97.77,169.81492614746094
17,1.7e-07,0.003016609,0.00788829,0.153548523,97.59,169.28363037109375
18,1.8e-07,0.003540585,0.008677497,0.146586231,97.75,168.93312072753906
19,1.9e-07,0.001875193,0.007181209,0.150455611,97.7,167.11195373535156
20,2e-07,0.004012162,0.009536579,0.144718325,97.69,166.1989288330078
21,2.1e-07,0.004992234,0.010711878,0.143868179,97.64,165.0345458984375
22,2.2e-07,0.002994583,0.008990391,0.134218816,97.87,165.0868682861328
23,2.3e-07,0.001922925,0.008025503,0.150944632,97.66,162.88937377929688
24,2.4e-07,0.002008182,0.008306594,0.148333338,97.62,161.9980926513672
25,2.5e-07,0.002821654,0.009187496,0.148382733,97.62,159.57244873046875
26,2.6e-07,0.002810182,0.009235872,0.143122167,97.64,157.2074737548828
27,2.7e-07,0.00378839,0.010237214,0.145476603,97.71,154.5462188720703
28,2.8e-07,0.00323157,0.009920703,0.135265873,97.77,154.56312561035156
29,2.9e-07,0.00482084,0.011565547,0.153448571,97.72,152.5044708251953
30,3e-07,0.00354748,0.010524457,0.140672574,97.69,152.50111389160156
31,3.1e-07,0.001186388,0.00833372,0.135691498,97.88,151.84173583984375
32,3.2e-07,0.00491738,0.011932955,0.145730537,97.64,148.0664520263672
33,3.3e-07,0.001743887,0.009009751,0.136831407,97.88,148.38385009765625
34,3.4e-07,0.004602347,0.011905183,0.132728837,97.69,146.55691528320312
35,3.5e-07,0.003404242,0.010848637,0.143277731,97.59,145.8413543701172
36,3.6e-07,0.001592806,0.009002604,0.135973168,97.7,143.46697998046875
37,3.7e-07,0.00464217,0.012118897,0.144804254,97.58,142.1526336669922
38,3.8e-07,0.004414035,0.012129253,0.140705523,97.43,142.48931884765625
39,3.9e-07,0.002204226,0.010034463,0.152162702,97.59,141.69520568847656
40,4e-07,0.002162002,0.010065731,0.146678447,97.44,140.56787109375
41,4.1e-07,0.00257146,0.010573046,0.129456976,97.74,139.69992065429688
42,4.2e-07,0.002932806,0.010898779,0.169006165,97.36,137.7192840576172
43,4.3e-07,0.004920649,0.013096973,0.144477024,97.51,137.89382934570312
44,4.4e-07,0.00425008,0.012614415,0.134067209,97.48,137.87620544433594
45,4.5e-07,0.00442877,0.012815358,0.138200294,97.5,136.51690673828125
46,4.6e-07,0.004292205,0.012888602,0.129785902,97.59,136.7034149169922
47,4.7e-07,0.005375709,0.014145079,0.138161768,97.57,136.59515380859375
