,L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy,r0
0,0.0,0.149517072,0.149517072,0.19415409,94.09,679.953857421875
1,0.0002,0.277495495,0.987187292,0.259454923,91.82,59.56902313232422
2,0.0004,0.308584036,1.064318069,0.29293798,91.12,43.46649932861328
3,0.0006,0.327384671,1.156695999,0.37048123,88.93,37.17776107788086
4,0.0008,0.337993763,1.124603968,0.288656173,91.24,31.357019424438477
5,0.001,0.345971078,1.156489145,0.376999148,89.03,28.469585418701172
6,0.0012,0.352508225,1.216203098,0.293186826,91.75,26.82805061340332
7,0.0014,0.363738762,1.227057854,0.30377123,91.7,24.83257293701172
8,0.0016,0.373920982,1.273398521,0.323785099,91.0,23.71016502380371
9,0.0018,0.386621493,1.362953183,0.35670506,89.66,23.289608001708984
10,0.002,0.395848947,1.416501474,0.349230835,90.43,22.59037971496582
11,0.0022,0.404260804,1.421664258,0.395242505,89.3,21.504779815673828
12,0.0024,0.412761132,1.415999438,0.376415716,90.03,20.445423126220703
13,0.0026,0.424168679,1.404538637,0.384082723,89.38,19.41813850402832
14,0.0028,0.435904948,1.555773869,0.409638108,89.02,19.998809814453125
15,0.003,0.438684941,1.530342992,0.475130181,87.3,19.075769424438477
16,0.0032,0.445312644,1.549686765,0.528829937,84.44,18.57732391357422
17,0.0034,0.461996291,1.546696315,0.399302551,89.48,17.861371994018555
18,0.0036,0.470281444,1.636284398,0.416931038,89.54,17.996912002563477
19,0.0038,0.478123768,1.602868104,0.434978456,88.02,17.204221725463867
20,0.004,0.483689305,1.639006077,0.461084478,87.97,16.99496841430664
21,0.0042,0.499342243,1.668403809,0.568304893,83.2,16.68376922607422
22,0.0044,0.500609095,1.708450721,0.479185293,86.97,16.568315505981445
23,0.0046,0.514002392,1.751435382,0.448770895,88.91,16.401437759399414
24,0.0048,0.52073502,1.727861778,0.490124524,87.4,15.858268737792969
25,0.005,0.532833956,1.711497897,0.482461259,87.59,15.353574752807617
26,0.0052,0.536245438,1.715875547,0.535582208,85.88,15.061593055725098
27,0.0054,0.543652923,1.805650128,0.484725531,87.28,15.287348747253418
28,0.0056,0.555968689,1.864051733,0.554516051,85.23,15.283520698547363
29,0.0058,0.558220652,1.841900679,0.501955964,87.12,14.876959800720215
30,0.006,0.568682023,1.887243272,0.597510753,85.25,14.824307441711426
31,0.0062,0.577024344,1.841267786,0.530098863,86.47,14.279703140258789
32,0.0064,0.594457244,2.001573748,0.568533011,85.88,14.827735900878906
33,0.0066,0.593223934,1.853729873,0.533918248,85.95,13.81975269317627
34,0.0068,0.603456639,1.920851634,0.543090107,86.07,13.918848991394043
35,0.007,0.60801782,1.924280684,0.647960356,81.26,13.712666511535645
36,0.0072,0.623470182,1.917976261,0.61696244,82.22,13.408672332763672
37,0.0074,0.619684377,1.958094338,0.600567837,84.03,13.448652267456055
38,0.0076,0.630027509,2.031369006,0.581944498,85.32,13.578907012939453
39,0.0078,0.640630912,2.050648966,0.852448618,70.51,13.445112228393555
40,0.008,0.643625826,2.004483981,0.579041685,84.72,13.042524337768555
41,0.0082,0.645122174,2.011206314,0.758591608,77.51,12.907190322875977
42,0.0084,0.656868409,2.028608045,0.657398508,79.03,12.778975486755371
43,0.0086,0.660911962,2.018522533,0.676549828,81.77,12.564302444458008
44,0.0088,0.66765795,2.061738761,0.688601648,79.4,12.58642578125
45,0.009,0.674333916,2.003777397,0.637402034,82.82,12.153843879699707
46,0.0092,0.680306504,2.070989768,0.636974835,81.41,12.294760704040527
47,0.0094,0.69187996,2.123770933,0.687798292,79.74,12.342162132263184
48,0.0096,0.694683619,2.111536304,0.683098033,79.8,12.148604393005371
49,0.0098,0.69857733,2.057110854,0.715881151,80.92,11.773951530456543
50,0.01,0.703433594,2.184841675,0.66601809,82.12,12.171306610107422
51,0.0102,0.733594064,2.116605023,0.673968324,82.17,11.644277572631836
52,0.0104,0.737206679,2.077694887,0.716998722,81.29,11.35310173034668
53,0.0106,0.73881791,2.118434857,0.676052506,81.41,11.408445358276367
54,0.0108,0.749894789,2.088853776,0.67870267,81.94,11.134517669677734
55,0.011,0.751781523,2.141812361,0.728080404,78.47,11.241267204284668
56,0.0112,0.764853738,2.323422024,0.764837634,79.57,11.796525001525879
57,0.0114,0.768564247,2.155077592,0.77793601,76.03,11.02832317352295
58,0.0116,0.770338592,2.242815273,0.78916541,76.53,11.266653060913086
59,0.0118,0.772231411,2.229715606,0.743965656,80.91,11.113744735717773
60,0.012,0.778201536,2.265300565,0.863601973,74.8,11.132162094116211
61,0.0122,0.781147171,2.188854622,0.749532284,80.73,10.741782188415527
62,0.0124,0.793401247,2.203367583,0.904351899,71.73,10.663346290588379
63,0.0126,0.791779774,2.184497461,0.882318957,71.66,10.51347541809082
64,0.0128,0.800573738,2.274624714,0.853036496,72.59,10.731271743774414
65,0.013,0.802269446,2.257756377,0.778736031,77.62,10.581134796142578
66,0.0132,0.806284866,2.272210971,0.804972562,75.15,10.538249015808105
67,0.0134,0.813489778,2.291651107,0.71415544,81.5,10.50288200378418
68,0.0136,0.827536729,2.34020532,0.791562718,76.71,10.546354293823242
69,0.0138,0.828414008,2.298033781,0.874103584,72.98,10.319581985473633
70,0.014,0.832398501,2.353108767,0.771971432,79.56,10.422183990478516
71,0.0142,0.833895522,2.419531384,0.775219329,76.94,10.567130088806152
72,0.0144,0.837964204,2.323788948,0.849765474,76.51,10.157864570617676
73,0.0146,0.858828045,2.332265476,0.838143166,78.43,10.045909881591797
74,0.0148,0.85494463,2.401440974,0.981167686,68.46,10.222172737121582
75,0.015,0.865202097,2.397581438,0.868392691,71.98,10.107337951660156
76,0.0152,0.859784083,2.449280085,0.944103401,67.97,10.22606086730957
77,0.0154,0.867092016,2.446574725,0.868238451,74.11,10.127362251281738
78,0.0156,0.876283665,2.376405549,0.943227076,70.27,9.80620288848877
79,0.0158,0.877081063,2.413637573,0.85570983,73.96,9.861557960510254
80,0.016,0.880575625,2.44754352,0.863168167,76.51,9.896227836608887
81,0.0162,0.896902175,2.509360088,0.907379566,71.49,9.976700782775879
82,0.0164,0.892512652,2.417270095,0.782514164,79.05,9.642254829406738
83,0.0166,0.904764909,2.417585681,0.898340401,75.66,9.546396255493164
84,0.0168,0.917819459,2.484499183,0.895022279,74.02,9.656850814819336
85,0.017,0.906806957,2.523780727,0.92885286,69.74,9.752737045288086
86,0.0172,0.909097208,2.491435926,0.999679707,69.73,9.59148120880127
87,0.0174,0.918606394,2.324551935,0.875341859,76.17,8.988969802856445
88,0.0176,0.932226442,2.414528407,0.895127586,72.37,9.17723274230957
89,0.0178,0.933948648,2.666433681,0.894992045,74.13,9.86561107635498
90,0.018,0.980151673,2.416073685,0.968982679,69.16,8.93157958984375
91,0.0182,1.003907352,2.534039665,1.127789884,61.14,9.169137954711914
92,0.0184,0.991271041,2.547325905,0.884767597,75.26,9.1961030960083
93,0.0186,1.009894654,2.501171848,1.010905989,63.0,8.954123497009277
94,0.0188,1.011253054,2.592823852,1.124051881,59.61,9.172025680541992
95,0.019,1.014698392,2.528991521,0.918378404,70.78,8.927449226379395
96,0.0192,1.018027344,2.53868501,1.067086572,62.37,8.899495124816895
97,0.0194,1.01748456,2.489672695,0.976933818,67.45,8.711260795593262
98,0.0196,1.02822195,2.530007649,0.984395726,68.98,8.753365516662598
99,0.0198,1.018265491,2.596560332,1.115541957,61.84,8.928132057189941
100,0.02,1.027686159,2.508724825,0.938417418,69.65,8.605345726013184
101,0.0202,1.050812273,2.516119521,0.930870763,70.37,8.5170259475708
102,0.0204,1.030001963,2.526482941,1.035778114,66.85,8.564863204956055
103,0.0206,1.045193286,2.60807228,1.042133404,67.32,8.710235595703125
104,0.0208,1.04548036,2.564083326,1.069457779,66.96,8.544564247131348
105,0.021,1.040150226,2.508078136,1.035436126,69.51,8.360686302185059
106,0.0212,1.050449071,2.57683969,1.058640081,65.19,8.485260963439941
107,0.0214,1.074388204,2.73054415,1.128865237,62.28,8.797167778015137
108,0.0216,1.070054144,2.539278326,1.009557125,69.93,8.247421264648438
109,0.0218,1.075149255,2.575884793,1.084573599,67.13,8.297046661376953
110,0.022,1.068465595,2.61041312,1.080686964,63.89,8.371892929077148
111,0.0222,1.074782659,2.570834718,1.071002619,68.4,8.209128379821777
112,0.0224,1.070897086,2.633755094,0.975976372,71.2,8.352849006652832
113,0.0226,1.0755026,2.659114077,0.959606471,71.4,8.37085247039795
114,0.0228,1.075163778,2.64753908,1.124082651,61.81,8.304444313049316
115,0.023,1.077063653,2.576307015,0.985537145,70.63,8.073688507080078
116,0.0232,1.085537789,2.680699215,1.015433729,67.45,8.291983604431152
117,0.0234,1.091426416,2.721075241,1.045697478,67.65,8.34524154663086
118,0.0236,1.098378973,2.673949414,1.058048766,65.44,8.170772552490234
119,0.0238,1.108982248,2.782624752,1.17845494,57.43,8.385777473449707
120,0.024,1.111461867,2.776382949,0.991411063,72.3,8.328968048095703
121,0.0242,1.10332007,2.701968503,1.186970691,62.78,8.127724647521973
122,0.0244,1.126235724,2.798688815,1.05989297,66.48,8.279064178466797
123,0.0246,1.123414497,2.737588676,1.148609375,61.78,8.100407600402832
124,0.0248,1.110619055,2.775410821,1.040718361,70.78,8.193205833435059
125,0.025,1.142055132,2.741671182,1.102490639,66.81,7.999037742614746
126,0.0252,1.249568395,2.744740581,1.280558208,54.97,7.702735900878906
127,0.0254,1.263504647,2.55811768,1.271900217,57.19,7.139252662658691
128,0.0256,1.253809965,2.692429008,1.186966839,60.67,7.496397972106934
129,0.0258,1.258816582,2.574468559,1.334946677,54.13,7.141021728515625
130,0.026,1.264135835,2.635430825,1.249860653,58.67,7.2623724937438965
131,0.0262,1.256247906,2.619217393,1.207556638,60.7,7.212599754333496
132,0.0264,1.25588112,2.736149858,1.211628421,57.46,7.488041877746582
133,0.0266,1.261899349,2.68504217,1.225714628,59.59,7.314479351043701
134,0.0268,1.279992919,2.705046708,1.288572031,55.85,7.292027473449707
135,0.027,1.292441748,2.713587011,1.219006642,63.22,7.254985809326172
136,0.0272,1.278676873,2.62598944,1.379169901,52.51,7.037989616394043
137,0.0274,1.286341196,2.763976378,1.290805485,62.89,7.343594074249268
138,0.0276,1.279089369,2.724843096,1.25446374,58.86,7.237568378448486
139,0.0278,1.296449785,2.718213139,1.269908276,59.26,7.15140962600708
140,0.028,1.296338204,2.73253225,1.26968021,56.16,7.161874771118164
141,0.0282,1.291743769,2.814749451,1.219070997,59.94,7.348943710327148
