,L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy,r0-r4
0,0.0,0.007790369,0.007790369,0.125478448,97.67,142.36367797851562
1,1e-08,0.006615451,0.006837524,0.133697931,97.6,149.0211181640625
2,2e-08,0.006038864,0.006515156,0.135935171,97.64,154.3197021484375
3,3e-08,0.008183361,0.008940314,0.136793187,97.6,158.8450927734375
4,4e-08,0.007048416,0.00810469,0.143987421,97.71,162.50186157226562
5,5e-08,0.003108224,0.00450986,0.150455849,97.67,167.42971801757812
6,6e-08,0.003710445,0.005464147,0.144862159,97.55,170.96302795410156
7,7e-08,0.003177755,0.005315109,0.151815044,97.61,174.73873901367188
8,8e-08,0.004155002,0.006623347,0.147618688,97.61,175.65394592285156
9,9e-08,0.006088183,0.008895956,0.156234412,97.66,176.62808227539062
10,1e-07,0.003101547,0.006203139,0.156988912,97.68,176.11337280273438
11,1.1e-07,0.004203517,0.007564697,0.159186482,97.56,174.80328369140625
12,1.2e-07,0.002210896,0.005954416,0.150274876,97.66,176.6239013671875
13,1.3e-07,0.004117998,0.008082878,0.144031566,97.74,174.63986206054688
14,1.4e-07,0.003018215,0.007261888,0.143788543,97.69,174.103271484375
15,1.5e-07,0.003460097,0.00792592,0.152746863,97.57,172.54608154296875
16,1.6e-07,0.00568099,0.010415885,0.141467377,97.8,172.02642822265625
17,1.7e-07,0.003112317,0.008148996,0.14372772,97.84,172.12648010253906
18,1.8e-07,0.002173705,0.007356752,0.129261885,97.78,169.69003295898438
19,1.9e-07,0.003748287,0.009180724,0.152798121,97.7,169.0910186767578
20,2e-07,0.00415295,0.009801393,0.146788361,97.75,168.05419921875
21,2.1e-07,0.00539812,0.011318956,0.154735542,97.57,167.9120330810547
22,2.2e-07,0.003485525,0.009547459,0.138600351,97.55,165.99472045898438
23,2.3e-07,0.003216744,0.009553935,0.14983496,97.55,165.990966796875
24,2.4e-07,0.002705179,0.00924284,0.13483531,97.89,165.0462188720703
25,2.5e-07,0.001993316,0.008531141,0.164865059,97.38,161.71363830566406
26,2.6e-07,0.002684898,0.00945268,0.14148687,97.62,161.33795166015625
27,2.7e-07,0.002367233,0.009142454,0.13783965,97.66,158.40899658203125
28,2.8e-07,0.004330679,0.011329238,0.133175257,97.62,158.09759521484375
29,2.9e-07,0.002553892,0.009564854,0.134981603,97.8,155.4854736328125
30,3e-07,0.004195667,0.011346128,0.142669134,97.7,154.3854522705078
31,3.1e-07,0.003180452,0.010495946,0.13300924,97.84,153.6175994873047
32,3.2e-07,0.003699072,0.011286749,0.138584489,97.66,153.98536682128906
33,3.3e-07,0.003884241,0.011597757,0.138918862,97.69,152.8865203857422
34,3.4e-07,0.003939496,0.011602094,0.139029982,97.61,150.1234588623047
