,L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy,r0
0,0.0,0.00942185,0.00942185,0.117120669,97.37,96.8767318725586
1,0.0002,0.049447049,0.245378507,0.080230508,97.51,31.299470901489258
2,0.0004,0.072190271,0.317478357,0.085539886,97.3,24.763275146484375
3,0.0006,0.093306042,0.390092523,0.10078147,97.16,22.240583419799805
4,0.0008,0.110035188,0.451748713,0.102594898,97.16,20.667409896850586
5,0.001,0.126414458,0.508491484,0.146402549,95.95,19.546777725219727
6,0.0012,0.140802877,0.558706832,0.13085997,96.49,18.661540985107422
7,0.0014,0.15441292,0.606684526,0.149443311,95.82,17.973628997802734
8,0.0016,0.166362063,0.645074856,0.161838984,95.55,17.297264099121094
9,0.0018,0.178938191,0.688689369,0.171353037,95.51,16.82840347290039
10,0.002,0.192744382,0.731563779,0.184601807,95.53,16.413698196411133
11,0.0022,0.204731996,0.771711299,0.199016168,94.52,16.0535945892334
12,0.0024,0.21440727,0.800619282,0.210797981,94.49,15.628661155700684
13,0.0026,0.2268362,0.838056503,0.21411532,94.67,15.332474708557129
14,0.0028,0.236166085,0.865100405,0.222990768,94.31,14.987303733825684
15,0.003,0.247750444,0.894006914,0.252866565,93.46,14.677146911621094
16,0.0032,0.261131882,0.922114792,0.258369193,93.6,14.372093200683594
17,0.0034,0.270819038,0.947289961,0.246957517,93.85,14.10538101196289
18,0.0036,0.282134671,0.974449179,0.268448983,93.09,13.867574691772461
19,0.0038,0.289889535,0.99710545,0.286554564,93.13,13.64219856262207
20,0.004,0.299874602,1.03170761,0.276851669,92.7,13.526206016540527
21,0.0042,0.308075619,1.059897729,0.296681799,92.4,13.379279136657715
22,0.0044,0.316823076,1.071934605,0.294646528,92.7,13.100234985351562
23,0.0046,0.326264278,1.11152343,0.321392414,91.33,13.065540313720703
24,0.0048,0.333698836,1.12120616,0.329189226,91.56,12.80874252319336
25,0.005,0.341065694,1.146508046,0.324817517,91.8,12.692058563232422
26,0.0052,0.350958153,1.174627568,0.326654223,91.99,12.585622787475586
