,L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy,r0
0,0.0,0.15980172,0.15980172,0.18124903,94.41,530.4610595703125
1,0.0002,0.275725223,0.974453348,0.273754078,91.62,59.10702896118164
2,0.0004,0.301814282,1.031004565,0.251110594,92.6,42.696197509765625
3,0.0006,0.325981248,1.09594326,0.280395567,91.79,35.82273483276367
4,0.0008,0.336360522,1.155090893,0.341342654,89.94,31.99077033996582
5,0.001,0.349503374,1.263171038,0.326832838,90.61,30.226909637451172
6,0.0012,0.355731985,1.275614675,0.292530713,91.57,27.68695640563965
7,0.0014,0.363505784,1.210642759,0.338797854,89.72,24.59874153137207
8,0.0016,0.373797621,1.294268519,0.356472632,89.74,23.985307693481445
9,0.0018,0.388762845,1.379457401,0.405265136,88.19,23.460281372070312
10,0.002,0.396144783,1.359549629,0.391394489,88.99,21.94770050048828
11,0.0022,0.404842858,1.455963623,0.386363927,89.03,21.85822105407715
12,0.0024,0.417561493,1.411623504,0.378539437,89.14,20.351686477661133
13,0.0026,0.422594683,1.535607647,0.406683329,88.55,20.69015884399414
14,0.0028,0.430357781,1.515967034,0.49327774,85.72,19.69053840637207
15,0.003,0.443311308,1.61422711,0.397251123,89.23,19.75613021850586
16,0.0032,0.452630788,1.523651784,0.436060145,87.89,18.29463768005371
17,0.0034,0.456712929,1.603980196,0.441050304,88.38,18.36928367614746
18,0.0036,0.470176334,1.571810831,0.397459863,89.37,17.493118286132812
19,0.0038,0.475468859,1.580063268,0.421300679,89.06,17.049421310424805
20,0.004,0.485487857,1.664365054,0.439027034,87.94,17.167394638061523
21,0.0042,0.493371677,1.723463468,0.485653145,86.48,17.113697052001953
22,0.0044,0.499936406,1.702049089,0.478210337,87.41,16.528972625732422
23,0.0046,0.511753864,1.668201206,0.478908648,88.36,15.855647087097168
24,0.0048,0.516662209,1.674841653,0.523654616,86.04,15.533409118652344
25,0.005,0.527715738,1.727892816,0.625091738,82.47,15.493058204650879
26,0.0052,0.53485676,1.783036478,0.512342801,86.25,15.493042945861816
27,0.0054,0.547157733,1.76382208,0.524106367,86.44,15.01026439666748
28,0.0056,0.554421138,1.787741158,0.525378775,85.79,14.84034538269043
29,0.0058,0.557661036,1.851635762,0.61519944,81.69,14.936478614807129
30,0.006,0.573739117,1.922783764,0.569188934,84.38,14.994685173034668
31,0.0062,0.577437477,1.904038146,0.669949071,78.74,14.627632141113281
32,0.0064,0.582502227,1.868549688,0.590729709,84.82,14.17550277709961
33,0.0066,0.591145375,1.879971614,0.532675415,86.63,13.974135398864746
34,0.0068,0.598318598,1.957801667,0.682717163,78.83,14.139443397521973
35,0.007,0.610131409,1.883435532,0.556152319,86.14,13.487040519714355
36,0.0072,0.616152522,1.895981196,0.594456529,84.28,13.332444190979004
37,0.0074,0.624069303,1.910794211,0.553152985,85.44,13.186424255371094
38,0.0076,0.629023855,1.975307681,0.773966479,76.1,13.309494972229004
39,0.0078,0.640503121,2.050471306,0.628063542,83.42,13.444887161254883
40,0.008,0.646273698,2.001080338,0.552920392,86.33,13.013486862182617
41,0.0082,0.655305594,2.047270608,0.61209723,84.06,13.028877258300781
42,0.0084,0.660307394,2.015633089,0.617271256,82.91,12.702296257019043
43,0.0086,0.667797438,2.015264141,0.602955448,84.67,12.517269134521484
44,0.0088,0.676584196,2.082472685,0.634924054,82.99,12.639617919921875
45,0.009,0.675941263,2.066461176,0.639746802,80.51,12.429895401000977
46,0.0092,0.678718427,2.034516627,0.666147498,82.26,12.139577865600586
47,0.0094,0.68619437,2.195823383,0.666192138,82.05,12.672767639160156
48,0.0096,0.690205216,2.142240519,0.676834518,79.94,12.298516273498535
49,0.0098,0.699611904,2.061897588,0.6471709,82.59,11.790193557739258
50,0.01,0.713114333,2.095719009,0.799903895,76.09,11.75840950012207
51,0.0102,0.726666659,2.114803298,0.735043495,79.19,11.665837287902832
52,0.0104,0.739426867,2.14774851,0.745100095,78.31,11.63681697845459
53,0.0106,0.739798209,2.149242051,0.711696957,79.14,11.531118392944336
54,0.0108,0.751504576,2.096808744,0.702373693,79.98,11.160873413085938
55,0.011,0.749867881,2.104861229,0.703804218,79.86,11.098695755004883
56,0.0112,0.769183978,2.179210589,0.676856377,82.18,11.220309257507324
57,0.0114,0.762051023,2.171606247,0.668604018,81.47,11.119582176208496
58,0.0116,0.773831115,2.30383228,0.689413485,82.96,11.484617233276367
59,0.0118,0.778398259,2.244084351,0.772616558,78.04,11.144980430603027
60,0.012,0.781759749,2.214614607,0.758812058,77.92,10.927239418029785
61,0.0122,0.789059611,2.229212126,0.794944327,77.41,10.864864349365234
62,0.0124,0.794544397,2.25795546,0.805489431,73.77,10.86355972290039
63,0.0126,0.798772001,2.247310191,0.940585511,67.8,10.722102165222168
64,0.0128,0.802031381,2.271299057,0.806463051,77.07,10.713850975036621
65,0.013,0.814108744,2.288109111,0.729134327,78.88,10.64822769165039
66,0.0132,0.812991094,2.231727038,0.815187119,77.13,10.367254257202148
67,0.0134,0.820644036,2.328734641,0.823984244,73.72,10.608687400817871
68,0.0136,0.824881516,2.31778491,0.839133471,74.95,10.477224349975586
69,0.0138,0.82949679,2.295933567,0.75357309,79.07,10.308416366577148
70,0.014,0.838025454,2.354201037,0.783678221,79.3,10.40662956237793
71,0.0142,0.83418545,2.387344901,0.884914754,74.98,10.458354949951172
72,0.0144,0.842526665,2.323484575,0.867511035,73.16,10.141226768493652
73,0.0146,0.856839415,2.368158963,0.820240968,75.61,10.174235343933105
74,0.0148,0.849792528,2.556404204,0.774036433,79.47,10.738335609436035
75,0.015,0.86259408,2.422529879,0.953967401,68.03,10.197815895080566
76,0.0152,0.864561348,2.38809045,0.918395128,70.31,10.011595726013184
77,0.0154,0.874541426,2.310509769,0.823139556,77.15,9.656319618225098
78,0.0156,0.877603654,2.44329155,0.832672897,75.9,10.018193244934082
79,0.0158,0.871903351,2.449457504,0.858101938,74.09,9.992242813110352
80,0.016,0.891956964,2.448915704,0.938618013,69.12,9.864583969116211
81,0.0162,0.904467187,2.458894587,0.868334057,73.1,9.795537948608398
82,0.0164,0.89499218,2.464983253,0.858412036,71.21,9.784214973449707
83,0.0166,0.903110715,2.515436121,0.938128563,72.53,9.855335235595703
84,0.0168,0.910587275,2.577462403,1.06048905,66.3,9.96085262298584
85,0.017,0.912670584,2.412962866,0.882650726,72.14,9.394274711608887
86,0.0172,0.915531733,2.462203993,0.892099229,72.35,9.482762336730957
87,0.0174,0.945321744,2.48345907,0.949739468,68.87,9.402067184448242
88,0.0176,0.951483217,2.408851894,1.055988444,64.06,9.099710464477539
89,0.0178,0.961200235,2.53395243,0.883892448,75.4,9.39982795715332
90,0.018,0.993123355,2.686427982,1.093954015,64.91,9.699087142944336
91,0.0182,0.992259221,2.704154787,1.110254755,60.8,9.698478698730469
92,0.0184,0.996693493,2.517792401,0.983058304,65.39,9.092215538024902
93,0.0186,1.006062702,2.578647775,0.957950693,67.17,9.194968223571777
94,0.0188,0.998093351,2.47161392,0.931228218,69.72,8.853178024291992
95,0.019,1.003021974,2.476971124,0.867067348,76.16,8.807711601257324
96,0.0192,1.008430838,2.474101053,1.069550166,63.65,8.737114906311035
97,0.0194,1.004054954,2.499895719,1.018980022,66.09,8.780950546264648
98,0.0196,1.017605423,2.569067324,0.991673633,71.3,8.896971702575684
99,0.0198,1.015985201,2.563760682,0.977027509,70.39,8.841400146484375
100,0.02,1.019581292,2.5702156,0.982857228,66.24,8.805197715759277
101,0.0202,1.029557334,2.482876689,0.951221885,71.13,8.482123374938965
102,0.0204,1.042730158,2.654386188,1.035636949,63.83,8.888360023498535
103,0.0206,1.030611718,2.589489591,1.083559806,63.93,8.69906234741211
104,0.0208,1.044736197,2.631378579,0.953761983,69.02,8.733878135681152
105,0.021,1.035450897,2.491884178,0.975619928,68.6,8.327902793884277
106,0.0212,1.051734902,2.616386675,1.001411623,67.43,8.590954780578613
107,0.0214,1.044367241,2.573589016,0.988333081,68.86,8.453351020812988
108,0.0216,1.063276663,2.736770743,1.070705178,61.93,8.802063941955566
109,0.0218,1.059942803,2.655843777,0.998422624,66.86,8.556089401245117
110,0.022,1.074898577,2.619257387,1.159860681,58.86,8.378421783447266
111,0.0222,1.061817253,2.618056697,1.084169583,60.86,8.372625350952148
