,L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy,r0-r3
0,0.0,0.007790369,0.007790369,0.125478448,97.67,142.40765380859375
1,1e-08,0.00702487,0.007247879,0.130019449,97.8,149.33473205566406
2,2e-08,0.006674388,0.00715666,0.130682577,97.67,155.28555297851562
3,3e-08,0.006959567,0.00773767,0.129287471,97.55,161.04893493652344
4,4e-08,0.002884571,0.004003366,0.149017619,97.61,167.24195861816406
5,5e-08,0.006047655,0.007505067,0.151643522,97.64,170.7285919189453
6,6e-08,0.005321662,0.007124011,0.139130318,97.8,173.318115234375
7,7e-08,0.003845863,0.005999579,0.151720484,97.63,175.40628051757812
8,8e-08,0.003844096,0.006381864,0.165820872,97.45,178.10696411132812
9,9e-08,0.003188537,0.006125501,0.151504686,97.47,180.64588928222656
10,1e-07,0.002640708,0.005883204,0.151705519,97.74,180.06935119628906
11,1.1e-07,0.003474608,0.007002706,0.144326492,97.82,179.09109497070312
12,1.2e-07,0.004463038,0.008283615,0.149930406,97.76,178.43247985839844
13,1.3e-07,0.003104998,0.007239879,0.149777207,97.7,178.3445281982422
14,1.4e-07,0.003367978,0.007670679,0.161109499,97.55,175.30995178222656
15,1.5e-07,0.003435029,0.008025667,0.14568092,97.81,174.94070434570312
16,1.6e-07,0.002618679,0.00749898,0.139275552,97.77,174.64785766601562
17,1.7e-07,0.005034015,0.010088878,0.145764666,97.82,172.43690490722656
18,1.8e-07,0.001896522,0.007214802,0.155242322,97.67,171.8894805908203
19,1.9e-07,0.002908233,0.008434663,0.158381143,97.67,170.54757690429688
20,2e-07,0.003301888,0.00901595,0.154713787,97.63,169.0275421142578
21,2.1e-07,0.002715553,0.008615045,0.152833482,97.85,167.609130859375
22,2.2e-07,0.003781409,0.009780544,0.151753917,97.61,165.13265991210938
23,2.3e-07,0.003051785,0.009312237,0.144230501,97.79,164.98291015625
24,2.4e-07,0.001485515,0.008002895,0.142279409,97.78,164.79002380371094
25,2.5e-07,0.004797147,0.01141953,0.151845482,97.63,162.75604248046875
26,2.6e-07,0.002730538,0.00948022,0.147869852,97.61,161.12205505371094
27,2.7e-07,0.003219555,0.010103976,0.141134962,97.65,159.68048095703125
28,2.8e-07,0.003191163,0.010166117,0.133478961,97.76,157.83074951171875
