,L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy,r0-r1
289,2.89e-06,0.003727255,0.008383312,0.142152946,97.58,40.1384162902832
290,2.9e-06,0.009553306,0.014248283,0.149335533,97.45,40.236270904541016
291,2.91e-06,0.003544946,0.008104972,0.142248028,97.51,39.58559799194336
292,2.92e-06,0.005041936,0.009742986,0.128005349,97.64,40.12416458129883
293,2.93e-06,0.005034892,0.009725039,0.135290646,97.47,40.0091552734375
294,2.94e-06,0.005651884,0.010231324,0.131209352,97.81,39.466854095458984
295,2.95e-06,0.006324695,0.010777103,0.144706162,97.36,38.84959030151367
296,2.96e-06,0.002859246,0.007208425,0.132234878,97.62,38.33167266845703
297,2.97e-06,0.005948111,0.010417385,0.145099441,97.42,38.791831970214844
298,2.98e-06,0.004576495,0.008800335,0.136692478,97.6,37.648319244384766
299,2.99e-06,0.005370956,0.00949598,0.132989373,97.6,37.1430549621582
300,3e-06,0.005710507,0.009854373,0.132307047,97.51,37.16569137573242
301,3.01e-06,0.009920664,0.014454972,0.127216249,97.65,38.81256103515625
302,3.02e-06,0.005370685,0.009801996,0.133606483,97.63,38.305633544921875
303,3.03e-06,0.005454403,0.009890653,0.139344235,97.22,38.263671875
304,3.04e-06,0.004851372,0.009334451,0.143166459,97.57,38.40178680419922
305,3.05e-06,0.005876884,0.010606028,0.16196727,97.31,39.376888275146484
306,3.06e-06,0.005947679,0.01072642,0.148178695,97.4,39.51809310913086
307,3.07e-06,0.003800769,0.00848202,0.117549133,97.99,39.04916763305664
308,3.08e-06,0.006030043,0.010431763,0.13210787,97.59,37.803836822509766
309,3.09e-06,0.00436924,0.008983442,0.134692543,97.67,38.64284133911133
310,3.1e-06,0.003542804,0.008120759,0.14248059,97.51,38.42863082885742
311,3.11e-06,0.004503956,0.009031038,0.145384532,97.51,38.15302276611328
312,3.12e-06,0.005073103,0.009480077,0.152253504,97.23,37.5831298828125
313,3.13e-06,0.005056749,0.009647579,0.152650029,97.33,38.29776382446289
314,3.14e-06,0.007704952,0.012583808,0.135457343,97.64,39.41796112060547
315,3.15e-06,0.00487211,0.009550844,0.132876341,97.74,38.53975296020508
316,3.16e-06,0.004320607,0.008932581,0.133916415,97.71,38.20321273803711
317,3.17e-06,0.005637256,0.01013588,0.123653813,97.76,37.671268463134766
318,3.18e-06,0.003224052,0.007613389,0.142174139,97.38,37.152313232421875
319,3.19e-06,0.002474489,0.006853901,0.137963381,97.67,37.05207824707031
320,3.2e-06,0.00752548,0.011867092,0.150936747,97.3,36.834136962890625
321,3.21e-06,0.001829073,0.00632826,0.138194788,97.73,37.43815994262695
322,3.22e-06,0.006935401,0.011374598,0.148747203,97.4,37.12994384765625
323,3.23e-06,0.004504907,0.008996301,0.133442941,97.59,37.289737701416016
324,3.24e-06,0.003401755,0.007724493,0.139242177,97.56,36.526405334472656
325,3.25e-06,0.00905173,0.013298034,0.14175233,97.58,36.14630126953125
