,L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,r0
122,0.0244,0.83497312,2.446545911,0.828603795,82.85,97.040816327,96.299559471,72.868217054,80.495049505,74.33808554,67.937219731,85.803757829,90.272373541,79.158110883,81.169474727,8.147204399108887
123,0.0246,0.840141968,2.440085451,0.82326012,82.98,96.93877551,98.237885463,68.507751938,82.97029703,86.456211813,72.757847534,89.665970772,89.105058366,78.131416838,64.816650149,8.122424125671387
124,0.0248,0.852362749,2.43766801,0.836659477,82.24,97.244897959,98.678414097,86.337209302,84.257425743,77.087576375,65.470852018,89.770354906,81.614785992,60.472279261,77.304261645,8.114559173583984
125,0.025,0.892894389,2.404777934,0.877452862,75.9,94.591836735,98.942731278,78.294573643,85.04950495,86.048879837,22.30941704,83.402922756,88.715953307,63.86036961,49.157581764,8.01975154876709
126,0.0252,0.89695513,2.399301814,0.871157224,80.43,96.632653061,97.356828194,86.531007752,83.762376238,84.012219959,56.053811659,83.82045929,90.758754864,64.98973306,55.302279485,7.737598896026611
127,0.0254,0.898245838,2.422824195,0.872280814,77.43,97.142857143,98.414096916,87.112403101,82.178217822,86.456211813,16.143497758,82.463465553,80.642023346,76.386036961,58.374628345,7.717240810394287
128,0.0256,0.900917001,2.434422275,0.884038619,78.82,92.551020408,96.916299559,81.686046512,74.752475248,85.641547862,41.255605381,89.561586639,71.303501946,83.470225873,65.807730426,7.726011753082275
129,0.0258,0.907269093,2.430113542,0.88109529,78.8,94.795918367,98.149779736,85.07751938,77.524752475,91.446028513,56.165919283,84.759916493,77.723735409,73.203285421,44.895936571,7.723176956176758
130,0.026,0.908118228,2.446650355,0.882708772,78.2,93.979591837,98.502202643,66.860465116,87.623762376,86.048879837,49.887892377,85.803757829,84.727626459,59.54825462,63.726461843,7.695832252502441
131,0.0262,0.912312635,2.440378282,0.881115013,80.12,94.183673469,97.973568282,83.042635659,78.712871287,75.66191446,63.004484305,91.649269311,81.517509728,66.221765914,65.312190287,7.667240619659424
132,0.0264,0.917389957,2.474488532,0.886735387,78.85,96.836734694,98.414096916,87.209302326,80.594059406,82.586558045,56.614349776,86.012526096,88.229571984,51.642710472,55.004955401,7.617074966430664
133,0.0266,0.921771965,2.470288331,0.896171599,77.47,96.428571429,98.59030837,84.786821705,78.811881188,86.965376782,41.591928251,92.797494781,83.657587549,57.905544148,46.977205154,7.628504276275635
134,0.0268,0.924284648,2.469252857,0.894460166,78.96,97.346938776,98.414096916,79.166666667,82.574257426,74.032586558,47.64573991,91.962421712,84.727626459,58.213552361,69.672943508,7.6275410652160645
