,L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy,r0
0,0.0,0.014132986,0.014132986,0.121704407,97.35,79.68069458007812
1,0.0002,0.046702632,0.23643072,0.079846307,97.43,30.79999542236328
2,0.0004,0.07304057,0.322406317,0.091556096,97.23,24.968231201171875
3,0.0006,0.093378062,0.390375206,0.10613751,96.91,22.248489379882812
4,0.0008,0.109684844,0.451352447,0.112305412,97.09,20.66600227355957
5,0.001,0.126358958,0.508538188,0.130347398,96.47,19.549400329589844
6,0.0012,0.141642387,0.556268242,0.135741013,96.3,18.588205337524414
7,0.0014,0.154044349,0.603881294,0.140965364,96.39,17.92516326904297
8,0.0016,0.167319705,0.651799197,0.165835841,95.62,17.401140213012695
9,0.0018,0.18036506,0.689913925,0.178493395,95.31,16.825061798095703
10,0.002,0.193518776,0.736323341,0.17974439,95.35,16.47429656982422
11,0.0022,0.205166462,0.768365791,0.192640708,95.07,15.999985694885254
12,0.0024,0.215919327,0.806020133,0.223285561,94.24,15.680410385131836
13,0.0026,0.228815302,0.838490387,0.223338819,94.16,15.313069343566895
14,0.0028,0.236297647,0.861327194,0.227425518,94.0,14.940702438354492
15,0.003,0.248827855,0.896330403,0.237772059,93.66,14.691277503967285
16,0.0032,0.259867203,0.923837271,0.237774634,94.2,14.404526710510254
17,0.0034,0.272471101,0.954575142,0.262766447,93.48,14.163995742797852
18,0.0036,0.28236086,0.981737051,0.282264055,92.84,13.93812370300293
19,0.0038,0.29233679,1.006527064,0.269373654,93.38,13.709301948547363
20,0.004,0.299415971,1.028328507,0.285935688,93.07,13.49918270111084
21,0.0042,0.309736003,1.058297947,0.294420061,92.59,13.35024642944336
22,0.0044,0.31768319,1.076256054,0.295791602,92.75,13.130228996276855
23,0.0046,0.327415933,1.104234195,0.31501947,91.99,12.995132446289062
24,0.0048,0.334909978,1.113968157,0.312497267,92.42,12.739850997924805
25,0.005,0.342909308,1.152578879,0.313839414,92.22,12.725319862365723
26,0.0052,0.350314303,1.176659334,0.333558822,91.67,12.606046676635742
27,0.0054,0.358327865,1.189137262,0.333584968,91.98,12.403775215148926
28,0.0056,0.365763642,1.213928828,0.367587099,90.35,12.3068265914917
29,0.0058,0.374469194,1.233824739,0.38144804,89.95,12.172282218933105
30,0.006,0.379539714,1.25145637,0.350458826,91.36,12.054858207702637
31,0.0062,0.386078685,1.276685185,0.371799987,90.92,11.985248565673828
32,0.0064,0.394889828,1.301454086,0.374077315,90.58,11.901705741882324
33,0.0066,0.401329902,1.316670222,0.411960169,89.2,11.776575088500977
34,0.0068,0.406932872,1.333075316,0.386681167,90.5,11.670360565185547
35,0.007,0.414451071,1.355133002,0.388223532,90.95,11.592366218566895
36,0.0072,0.421256085,1.374447711,0.404904322,89.94,11.505990028381348
37,0.0074,0.429187586,1.396817756,0.395406428,90.85,11.435070037841797
