L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy
0.000000000,0.007790369,0.007790369,0.125478448,97.670000000
0.000000010,0.005216330,0.005417561,0.135632338,97.680000000
0.000000020,0.005317636,0.005751190,0.136799200,97.540000000
0.000000030,0.003639307,0.004320748,0.136257905,97.710000000
0.000000040,0.002606365,0.003568202,0.128685210,97.750000000
0.000000050,0.003667435,0.004986863,0.125065059,97.870000000
0.000000060,0.004309022,0.005922875,0.137056373,97.760000000
0.000000070,0.003175256,0.005162640,0.150026080,97.570000000
0.000000080,0.003092205,0.005474159,0.140487043,97.700000000
0.000000090,0.003939102,0.006629865,0.150562724,97.600000000
0.000000100,0.004555863,0.007560945,0.125984206,97.870000000
0.000000110,0.003632438,0.006975001,0.139754225,97.840000000
0.000000120,0.001723317,0.005341808,0.155444259,97.710000000
0.000000130,0.002527574,0.006366646,0.146335051,97.760000000
0.000000140,0.002877388,0.006966657,0.143742445,97.870000000
0.000000150,0.004734553,0.009030972,0.153758680,97.600000000
0.000000160,0.002677720,0.007291657,0.145429448,97.770000000
0.000000170,0.003016609,0.007888290,0.153548523,97.590000000
0.000000180,0.003540585,0.008677497,0.146586231,97.750000000
0.000000190,0.001875193,0.007181209,0.150455611,97.700000000
0.000000200,0.004012162,0.009536579,0.144718325,97.690000000
0.000000210,0.004992234,0.010711878,0.143868179,97.640000000
0.000000220,0.002994583,0.008990391,0.134218816,97.870000000
0.000000230,0.001922925,0.008025503,0.150944632,97.660000000
0.000000240,0.002008182,0.008306594,0.148333338,97.620000000
0.000000250,0.002821654,0.009187496,0.148382733,97.620000000
0.000000260,0.002810182,0.009235872,0.143122167,97.640000000
0.000000270,0.003788390,0.010237214,0.145476603,97.710000000
0.000000280,0.003231570,0.009920703,0.135265873,97.770000000
0.000000290,0.004820840,0.011565547,0.153448571,97.720000000
0.000000300,0.003547480,0.010524457,0.140672574,97.690000000
0.000000310,0.001186388,0.008333720,0.135691498,97.880000000
0.000000320,0.004917380,0.011932955,0.145730537,97.640000000
0.000000330,0.001743887,0.009009751,0.136831407,97.880000000
0.000000340,0.004602347,0.011905183,0.132728837,97.690000000
0.000000350,0.003404242,0.010848637,0.143277731,97.590000000
0.000000360,0.001592806,0.009002604,0.135973168,97.700000000
0.000000370,0.004642170,0.012118897,0.144804254,97.580000000
0.000000380,0.004414035,0.012129253,0.140705523,97.430000000
0.000000390,0.002204226,0.010034463,0.152162702,97.590000000
0.000000400,0.002162002,0.010065731,0.146678447,97.440000000
0.000000410,0.002571460,0.010573046,0.129456976,97.740000000
0.000000420,0.002932806,0.010898779,0.169006165,97.360000000
0.000000430,0.004920649,0.013096973,0.144477024,97.510000000
0.000000440,0.004250080,0.012614415,0.134067209,97.480000000
0.000000450,0.004428770,0.012815358,0.138200294,97.500000000
0.000000460,0.004292205,0.012888602,0.129785902,97.590000000
0.000000470,0.005375709,0.014145079,0.138161768,97.570000000
0.000000480,0.004233395,0.013104543,0.133330041,97.470000000
0.000000490,0.002230771,0.011099315,0.138213223,97.490000000
0.000000500,0.001788503,0.010678410,0.136950074,97.540000000
0.000000510,0.005610019,0.014559818,0.108453155,97.930000000
0.000000520,0.005520836,0.014464655,0.132334847,97.690000000
0.000000530,0.003615078,0.012744831,0.143236119,97.450000000
0.000000540,0.003072611,0.012365734,0.120086080,97.820000000
0.000000550,0.004101908,0.013321329,0.117890866,97.790000000
0.000000560,0.004027471,0.013319604,0.130824447,97.700000000
0.000000570,0.003012096,0.012394297,0.123453915,97.580000000
0.000000580,0.004364787,0.013704766,0.134908871,97.680000000
0.000000590,0.004200781,0.013655710,0.118678586,97.890000000
0.000000600,0.003646389,0.013058105,0.124112175,97.750000000
0.000000610,0.006199805,0.015790762,0.131379530,97.660000000
0.000000620,0.006270305,0.015936189,0.120498174,97.900000000
0.000000630,0.004412096,0.014097302,0.124832776,97.570000000
0.000000640,0.004400914,0.014124281,0.123255275,97.630000000
0.000000650,0.005179955,0.015061199,0.137350510,97.480000000
0.000000660,0.001865230,0.011713456,0.122058472,97.680000000
0.000000670,0.001991168,0.011923295,0.129101786,97.690000000
0.000000680,0.003665815,0.013554034,0.131249122,97.640000000
0.000000690,0.003266445,0.013199459,0.118962285,97.770000000
0.000000700,0.003177559,0.012979719,0.129454719,97.810000000
0.000000710,0.004404182,0.014294055,0.116969498,97.750000000
