L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy
0.000000000,0.007790369,0.007790369,0.125478448,97.670000000
0.000000010,0.007024870,0.007247879,0.130019449,97.800000000
0.000000020,0.006674388,0.007156660,0.130682577,97.670000000
0.000000030,0.006959567,0.007737670,0.129287471,97.550000000
0.000000040,0.002884571,0.004003366,0.149017619,97.610000000
0.000000050,0.006047655,0.007505067,0.151643522,97.640000000
0.000000060,0.005321662,0.007124011,0.139130318,97.800000000
0.000000070,0.003845863,0.005999579,0.151720484,97.630000000
0.000000080,0.003844096,0.006381864,0.165820872,97.450000000
0.000000090,0.003188537,0.006125501,0.151504686,97.470000000
0.000000100,0.002640708,0.005883204,0.151705519,97.740000000
0.000000110,0.003474608,0.007002706,0.144326492,97.820000000
0.000000120,0.004463038,0.008283615,0.149930406,97.760000000
0.000000130,0.003104998,0.007239879,0.149777207,97.700000000
0.000000140,0.003367978,0.007670679,0.161109499,97.550000000
0.000000150,0.003435029,0.008025667,0.145680920,97.810000000
0.000000160,0.002618679,0.007498980,0.139275552,97.770000000
0.000000170,0.005034015,0.010088878,0.145764666,97.820000000
0.000000180,0.001896522,0.007214802,0.155242322,97.670000000
0.000000190,0.002908233,0.008434663,0.158381143,97.670000000
0.000000200,0.003301888,0.009015950,0.154713787,97.630000000
0.000000210,0.002715553,0.008615045,0.152833482,97.850000000
0.000000220,0.003781409,0.009780544,0.151753917,97.610000000
0.000000230,0.003051785,0.009312237,0.144230501,97.790000000
0.000000240,0.001485515,0.008002895,0.142279409,97.780000000
0.000000250,0.004797147,0.011419530,0.151845482,97.630000000
0.000000260,0.002730538,0.009480220,0.147869852,97.610000000
0.000000270,0.003219555,0.010103976,0.141134962,97.650000000
0.000000280,0.003191163,0.010166117,0.133478961,97.760000000
0.000000290,0.004401783,0.011574839,0.139874381,97.790000000
0.000000300,0.003062568,0.010377934,0.136291434,97.820000000
0.000000310,0.004846348,0.012162721,0.130562915,97.740000000
0.000000320,0.004630843,0.012029885,0.118621144,97.920000000
0.000000330,0.004338285,0.011848461,0.145432612,97.540000000
0.000000340,0.004259783,0.011894158,0.147505100,97.440000000
0.000000350,0.003473693,0.011273106,0.144903421,97.540000000
0.000000360,0.003648406,0.011536306,0.141745745,97.530000000
0.000000370,0.004380886,0.012429985,0.130536171,97.660000000
0.000000380,0.004520156,0.012671415,0.142453696,97.670000000
0.000000390,0.004569608,0.012965289,0.130205716,97.590000000
0.000000400,0.004465793,0.012852709,0.125526566,97.790000000
0.000000410,0.002944956,0.011352492,0.131483327,97.720000000
0.000000420,0.003666100,0.012125173,0.127539906,97.620000000
0.000000430,0.002345725,0.010853836,0.130292208,97.750000000
0.000000440,0.003860061,0.012409903,0.129058518,97.470000000
0.000000450,0.004570807,0.013287749,0.128361160,97.650000000
0.000000460,0.004171727,0.013035050,0.122252037,97.770000000
0.000000470,0.002260609,0.011137050,0.131000308,97.610000000
0.000000480,0.006720536,0.015690772,0.141489308,97.450000000
0.000000490,0.004061105,0.013086021,0.128294451,97.580000000
0.000000500,0.003452834,0.012554381,0.131269639,97.600000000
0.000000510,0.004723607,0.013964580,0.115119816,97.770000000
0.000000520,0.005294942,0.014586820,0.133518999,97.720000000
0.000000530,0.005141488,0.014531799,0.127297949,97.690000000
0.000000540,0.003820894,0.013349240,0.126689649,97.670000000
0.000000550,0.003722348,0.013286875,0.123158308,97.780000000
0.000000560,0.003555131,0.013132950,0.126439055,97.790000000
0.000000570,0.002735047,0.012439603,0.145093334,97.400000000
0.000000580,0.004021934,0.013824892,0.119789201,97.740000000
0.000000590,0.003033106,0.012827226,0.131511092,97.640000000
0.000000600,0.004548183,0.014408405,0.119421678,97.580000000
0.000000610,0.005067888,0.014995705,0.127150737,97.530000000
0.000000620,0.003524885,0.013404223,0.129601944,97.600000000
0.000000630,0.002301038,0.012231832,0.110630848,97.820000000
0.000000640,0.002297822,0.012119532,0.124513625,97.590000000
0.000000650,0.007462675,0.017399804,0.112581095,97.770000000
0.000000660,0.003264621,0.013441088,0.121849989,97.760000000
0.000000670,0.004148722,0.014351292,0.119474634,97.550000000
0.000000680,0.002496591,0.012630288,0.114353333,97.820000000
0.000000690,0.002742676,0.012782006,0.142611969,97.160000000
0.000000700,0.006441137,0.016709895,0.127472489,97.650000000
0.000000710,0.004680532,0.015065781,0.119423301,97.780000000
0.000000720,0.002643825,0.013276852,0.113170199,97.850000000
0.000000730,0.004047955,0.014471723,0.116250358,97.800000000
0.000000740,0.004008337,0.014421043,0.115830251,97.610000000
0.000000750,0.004124475,0.014552802,0.128092484,97.490000000
0.000000760,0.003008945,0.013448409,0.122672905,97.730000000
0.000000770,0.004422806,0.014806710,0.121846715,97.650000000
0.000000780,0.004030595,0.014496849,0.113340359,97.700000000
0.000000790,0.004173515,0.014807940,0.131771976,97.460000000
0.000000800,0.002526464,0.013163137,0.107245867,97.830000000
0.000000810,0.003320058,0.014003914,0.125597677,97.750000000
0.000000820,0.003426353,0.014254574,0.115669975,97.860000000
0.000000830,0.004342507,0.015218221,0.115098471,97.850000000
0.000000840,0.003523291,0.014278666,0.114648512,97.800000000
0.000000850,0.004799318,0.015678314,0.128246875,97.560000000
0.000000860,0.004671888,0.015560737,0.113312151,97.730000000
0.000000870,0.002413116,0.013350854,0.130206826,97.550000000
0.000000880,0.005762319,0.016817633,0.123903971,97.620000000
0.000000890,0.003822890,0.014847386,0.120556540,97.550000000
0.000000900,0.002539698,0.013432444,0.119559571,97.640000000
0.000000910,0.003698024,0.014528235,0.118885630,97.640000000
0.000000920,0.004042136,0.014930953,0.122763419,97.460000000
0.000000930,0.004081781,0.015084605,0.116023952,97.660000000
0.000000940,0.003350079,0.014529533,0.113185344,97.770000000
0.000000950,0.003532210,0.014525036,0.112407529,97.720000000
0.000000960,0.005309797,0.016284399,0.120277312,97.560000000
0.000000970,0.003745800,0.014858485,0.106506800,97.750000000
0.000000980,0.006174014,0.017236039,0.122546746,97.540000000
0.000000990,0.004044544,0.015130022,0.109611222,97.870000000
0.000001000,0.005195532,0.016172245,0.112305324,97.730000000
0.000001010,0.005862862,0.016962673,0.107985852,97.820000000
0.000001020,0.002523970,0.013587025,0.107825135,97.710000000
0.000001030,0.004090246,0.015312615,0.115508152,97.600000000
0.000001040,0.005579926,0.016633055,0.121839133,97.500000000
0.000001050,0.005010891,0.016150427,0.116922144,97.590000000
0.000001060,0.003651542,0.014868425,0.114344256,97.760000000
0.000001070,0.005780069,0.017059422,0.123902633,97.630000000
0.000001080,0.005889325,0.017204197,0.107620238,97.800000000
0.000001090,0.003454215,0.014477625,0.110744232,97.770000000
0.000001100,0.005203098,0.016111760,0.105024187,97.800000000
0.000001110,0.002611287,0.013709461,0.104838839,97.940000000
0.000001120,0.003289098,0.014400860,0.117278024,97.660000000
0.000001130,0.004283211,0.015550315,0.109279417,97.860000000
0.000001140,0.003909005,0.014998028,0.103333720,97.820000000
0.000001150,0.004645809,0.015745488,0.125447541,97.430000000
0.000001160,0.002641718,0.014050877,0.108770577,97.860000000
0.000001170,0.002868583,0.014112864,0.114027494,97.760000000
0.000001180,0.003887737,0.014900354,0.105564553,97.960000000
0.000001190,0.002248379,0.013248880,0.107685386,97.680000000
0.000001200,0.005228791,0.016319162,0.109544228,97.890000000
0.000001210,0.003657033,0.013565822,0.105357291,97.740000000
0.000001220,0.002909503,0.013369499,0.107154633,97.840000000
0.000001230,0.004266402,0.014967621,0.106117878,97.740000000
0.000001240,0.002995379,0.013923245,0.113921769,97.890000000
0.000001250,0.006862914,0.017840480,0.110048065,97.730000000
0.000001260,0.002733252,0.013609821,0.111922133,97.620000000
0.000001270,0.006331342,0.017275236,0.109641349,97.730000000
0.000001280,0.004810005,0.015610959,0.116626932,97.710000000
0.000001290,0.003882505,0.014631841,0.115294878,97.690000000
0.000001300,0.003188320,0.013910066,0.111637270,97.880000000
0.000001310,0.003967071,0.014718339,0.126937694,97.610000000
0.000001320,0.004732414,0.015564843,0.105162146,97.900000000
0.000001330,0.004581832,0.015205944,0.111359812,97.670000000
0.000001340,0.005305185,0.016198768,0.117233894,97.580000000
0.000001350,0.005283684,0.016214809,0.098797712,97.900000000
0.000001360,0.002387616,0.013107192,0.125840770,97.570000000
0.000001370,0.004334421,0.014956970,0.125102321,97.700000000
0.000001380,0.003446134,0.014056540,0.126028981,97.460000000
0.000001390,0.004073723,0.014728748,0.112329442,97.820000000
0.000001400,0.003095528,0.013781186,0.119726292,97.540000000
0.000001410,0.004444310,0.015245458,0.117185341,97.610000000
0.000001420,0.004715454,0.015421958,0.111277378,97.750000000
0.000001430,0.003138954,0.013622008,0.114982096,97.730000000
0.000001440,0.004685456,0.015146930,0.122137922,97.400000000
0.000001450,0.004275787,0.014810457,0.111530642,97.920000000
0.000001460,0.003859775,0.014154982,0.122632841,97.630000000
0.000001470,0.007173388,0.017549401,0.111222917,97.720000000
0.000001480,0.004324013,0.014605920,0.117175323,97.740000000
0.000001490,0.003293863,0.013513367,0.103273552,97.880000000
0.000001500,0.002781341,0.012869041,0.111347972,97.780000000
0.000001510,0.004040397,0.014086593,0.119534606,97.770000000
0.000001520,0.004809012,0.015070797,0.120481135,97.640000000
0.000001530,0.003040643,0.013163590,0.123651082,97.670000000
0.000001540,0.005188717,0.015223547,0.115598364,97.740000000
0.000001550,0.005277026,0.015185209,0.128862672,97.470000000
0.000001560,0.003067831,0.013089854,0.119039350,97.680000000
0.000001570,0.004295552,0.014161373,0.128097662,97.450000000
0.000001580,0.003678819,0.013476327,0.116840405,97.690000000
0.000001590,0.005296014,0.014930818,0.109688568,97.670000000
0.000001600,0.004437398,0.013902127,0.107332836,97.910000000
